Host,Match,Total Goals,Attendance
Korea/Japan,23,4,24000
Korea/Japan,24,1,47226
Korea/Japan,25,4,36750
Korea/Japan,26,3,36472
Korea/Japan,27,2,42299
Korea/Japan,28,1,66108
Korea/Japan,29,3,45610
Korea/Japan,30,2,60778
Korea/Japan,31,4,31000
Korea/Japan,32,2,39700
Korea/Japan,33,2,48100
Korea/Japan,34,6,33681
Korea/Japan,35,3,65320
Korea/Japan,36,2,47085
Korea/Japan,37,2,45777
Korea/Japan,38,0,44864
Korea/Japan,39,4,30176
Korea/Japan,40,5,31024
Korea/Japan,41,7,38524
Korea/Japan,42,3,43605
Korea/Japan,43,1,65862
Korea/Japan,44,2,39291
Korea/Japan,45,2,45213
Korea/Japan,46,1,50239
Korea/Japan,47,4,26482
Korea/Japan,48,5,46640
Korea/Japan,49,3,40582
Korea/Japan,50,1,25176
Korea/Japan,51,2,38926
Korea/Japan,52,3,39747
Korea/Japan,53,2,40440
Korea/Japan,54,2,36380
Korea/Japan,55,1,45666
Korea/Japan,56,3,38588
Korea/Japan,57,3,47436
Korea/Japan,58,1,37337
Korea/Japan,59,1,44233
Korea/Japan,60,0,42114
Korea/Japan,61,1,65256
Korea/Japan,62,1,61058
Korea/Japan,63,5,63483
Korea/Japan,64,2,69029
Germany,1,6,66000
Germany,2,2,52000
Germany,3,1,48000
Germany,4,0,62959
Germany,5,3,49480
Germany,6,1,43000
Germany,7,4,41000
Germany,8,1,45000
Germany,9,4,46000
Germany,10,3,52000
Germany,11,2,43000
Germany,12,3,48000
Germany,13,0,52000
Germany,14,1,72000
Germany,15,4,43000
Germany,16,4,66000
Germany,17,1,65000
Germany,18,3,50000
Germany,19,2,41000
Germany,20,1,72000
Germany,21,6,52000
Germany,22,3,52000
Germany,23,0,43000
Germany,24,2,48000
Germany,25,2,45000
Germany,26,2,46000
Germany,27,0,41000
Germany,28,2,66000
Germany,29,2,43000
Germany,30,2,65000
Germany,31,4,50000
Germany,32,4,52000
Germany,33,3,72000
Germany,34,3,43000
Germany,35,4,45000
Germany,36,2,46000
Germany,37,2,38000
Germany,38,3,52000
Germany,39,0,48000
Germany,40,5,66000
Germany,41,2,50000
Germany,42,3,41000
Germany,43,5,65000
Germany,44,4,52000
Germany,45,1,72000
Germany,46,1,46000
Germany,47,2,45000
Germany,48,2,43000
Germany,49,2,66000
Germany,50,3,43000
Germany,51,1,52000
Germany,52,1,41000
Germany,53,1,46000
Germany,54,0,45000
Germany,55,3,65000
Germany,56,4,43000
Germany,57,2,72000
Germany,58,3,50000
Germany,59,0,52000
Germany,60,1,48000
Germany,61,2,65000
Germany,62,1,66000
Germany,63,4,52000
Germany,64,2,69000
Germany,65,2,84490
South Africa,1,0,64100
South Africa,2,2,31513
South Africa,3,1,55686
South Africa,4,2,38646
South Africa,5,1,30325
South Africa,6,1,38833
South Africa,7,4,62660
South Africa,8,2,83465
South Africa,9,1,30620
South Africa,10,2,62869
South Africa,11,2,23871
South Africa,12,0,37034
South Africa,13,3,54331
South Africa,14,1,32664
South Africa,15,1,62453
South Africa,16,3,42658
South Africa,17,5,82174
South Africa,18,3,31593
South Africa,19,2,35370
South Africa,20,1,38294
South Africa,21,4,45573
South Africa,22,0,64100
South Africa,23,1,62010
South Africa,24,2,34812
South Africa,25,3,38074
South Africa,26,2,26643
South Africa,27,2,38229
South Africa,28,4,84455
South Africa,29,7,63644
South Africa,30,1,34872
South Africa,31,2,54386
South Africa,32,1,33425
South Africa,33,3,39415
South Africa,34,4,61874
South Africa,35,2,38891
South Africa,36,1,36893
South Africa,37,1,35827
South Africa,38,1,83391
South Africa,39,3,37836
South Africa,40,5,53412
South Africa,41,0,34850
South Africa,42,4,27967
South Africa,43,3,63093
South Africa,44,0,62712
South Africa,45,3,34763
South Africa,46,3,41958
South Africa,47,0,28042
South Africa,48,3,30597
South Africa,49,3,34976
South Africa,50,5,40510
South Africa,51,4,84377
South Africa,52,3,61962
South Africa,53,3,54096
South Africa,54,0,36742
South Africa,55,1,62955
South Africa,56,3,40186
South Africa,57,2,84017
South Africa,58,4,64100
South Africa,59,1,55359
South Africa,60,5,62479
South Africa,61,1,60960
South Africa,62,5,36254
South Africa,63,1,84490
Brazil,1,4,62103
Brazil,2,1,39216
Brazil,3,6,48173
Brazil,4,4,40275
Brazil,5,3,57174
Brazil,6,4,58679
Brazil,7,3,39800
Brazil,8,3,40267
Brazil,9,3,68351
Brazil,10,3,43012
Brazil,11,3,74738
Brazil,12,4,51081
Brazil,13,0,39081
Brazil,14,3,39760
Brazil,15,3,56800
Brazil,16,0,60342
Brazil,17,2,37603
Brazil,18,5,42877
Brazil,19,2,74101
Brazil,20,4,39982
Brazil,21,3,68748
Brazil,22,3,62575
Brazil,23,0,39485
Brazil,24,1,40285
Brazil,25,7,51003
Brazil,26,3,39224
Brazil,27,1,57698
Brazil,28,4,59621
Brazil,29,1,40499
Brazil,30,1,73819
Brazil,31,6,42732
Brazil,32,4,40123
Brazil,33,3,39375
Brazil,34,2,62996
Brazil,35,5,69112
Brazil,36,4,41212
Brazil,37,1,39706
Brazil,38,0,57823
Brazil,39,5,40340
Brazil,40,3,59095
Brazil,41,5,43285
Brazil,42,4,48011
Brazil,43,3,40322
Brazil,44,0,73749
Brazil,45,1,41876
Brazil,46,3,67540
Brazil,47,1,61397
Brazil,48,2,39311
Brazil,49,2,57714
Brazil,50,2,73804
Brazil,51,2,67882
Brazil,52,3,
Brazil,53,3,60342
Brazil,54,1,74240
Brazil,55,8,58141
Brazil,56,3,68034
Brazil,57,1,74738
Brazil,58,0,63267
Brazil,59,0,51179
Brazil,60,1,68551
Brazil,61,3,58817
Brazil,62,2,41242
Brazil,63,1,63255
Brazil,64,3,51227
Brazil,65,2,57714
Brazil,66,2,73804
Brazil,67,3,58817
Brazil,68,2,41242
Brazil,69,2,67882
Brazil,70,3,
Brazil,71,1,63255
Brazil,72,3,51227
Brazil,73,1,74240
Brazil,74,3,60342
Brazil,75,1,68551
Brazil,76,0,51179
Brazil,77,8,58141
Brazil,78,0,63267
Brazil,79,3,68034
Brazil,80,1,74738
