Year,Host,Match,Datetime,Stage,City,Home_Team,Home Team Goals,Away Team Goals,Total Goals,Away _Team,Attendance,Home Team Initials,Away Team Initials
1954,Switzerland,8,17 Jun 1954 - 17:50 ,Group,Lausanne ,Switzerland,2,1,3,Italy,43000,SUI,ITA
1954,Switzerland,9,19 Jun 1954 - 16:50 ,Group,Basel ,Uruguay,7,0,7,Scotland,34000,URU,SCO
1954,Switzerland,10,19 Jun 1954 - 17:00 ,Group,Zurich ,Austria,5,0,5,Czechoslovakia,26000,AUT,TCH
1954,Switzerland,11,19 Jun 1954 - 17:10 ,Group,Geneva ,France,3,2,5,Mexico,19000,FRA,MEX
1954,Switzerland,12,19 Jun 1954 - 17:00 ,Group,Lausanne ,Brazil,1,1,2,Yugoslavia,24637,BRA,YUG
1954,Switzerland,13,20 Jun 1954 - 16:50 ,Group,Basel ,Hungary,8,3,11,Germany FR,56000,HUN,FRG
1954,Switzerland,14,20 Jun 1954 - 17:00 ,Group,Geneva ,Turkey,7,0,7,Korea Republic,4000,TUR,KOR
1954,Switzerland,15,20 Jun 1954 - 17:10 ,Group,Berne ,England,2,0,2,Switzerland,43500,ENG,SUI
1954,Switzerland,16,20 Jun 1954 - 17:00 ,Group,Lugano ,Italy,4,1,5,Belgium,24000,ITA,BEL
1954,Switzerland,17,23 Jun 1954 - 18:00 ,Group,Zurich ,Germany FR,7,2,9,Turkey,17000,FRG,TUR
1954,Switzerland,18,23 Jun 1954 - 18:00 ,Group,Basel ,Switzerland,4,1,5,Italy,30000,SUI,ITA
1954,Switzerland,19,26 Jun 1954 - 17:00 ,Quarter-finals,Basel ,Uruguay,4,2,6,England,28000,URU,ENG
1954,Switzerland,20,26 Jun 1954 - 17:00 ,Quarter-finals,Lausanne ,Austria,7,5,12,Switzerland,35000,AUT,SUI
1954,Switzerland,21,27 Jun 1954 - 17:00 ,Quarter-finals,Geneva ,Germany FR,2,0,2,Yugoslavia,17000,FRG,YUG
1954,Switzerland,22,27 Jun 1954 - 17:00 ,Quarter-finals,Berne ,Hungary,4,2,6,Brazil,40000,HUN,BRA
1954,Switzerland,23,30 Jun 1954 - 18:00 ,Semi-finals,Basel ,Germany FR,6,1,7,Austria,58000,FRG,AUT
1954,Switzerland,24,30 Jun 1954 - 18:00 ,Semi-finals,Lausanne ,Hungary,4,2,6,Uruguay,45000,HUN,URU
1954,Switzerland,25,03 Jul 1954 - 17:00 ,Match for third place,Zurich ,Austria,3,1,4,Uruguay,32000,AUT,URU
1954,Switzerland,26,04 Jul 1954 - 17:00 ,Final,Berne ,Germany FR,3,2,5,Hungary,62500,FRG,HUN
1958,Sweden,1,08 Jun 1958 - 14:00 ,Group,Solna ,Sweden,3,0,3,Mexico,34107,SWE,MEX
1958,Sweden,2,08 Jun 1958 - 19:00 ,Group,Gothenburg ,Soviet Union,2,2,4,England,49348,URS,ENG
1958,Sweden,3,08 Jun 1958 - 19:00 ,Group,Malm� ,Argentina,1,3,4,Germany FR,31156,ARG,FRG
1958,Sweden,4,08 Jun 1958 - 19:00 ,Group,Sandviken ,Hungary,1,1,2,Wales,15343,HUN,WAL
1958,Sweden,5,08 Jun 1958 - 19:00 ,Group,Norrk�Ping ,France,7,3,10,Paraguay,16518,FRA,PAR
1958,Sweden,6,08 Jun 1958 - 19:00 ,Group,Vasteras ,Yugoslavia,1,1,2,Scotland,9591,YUG,SCO
1958,Sweden,7,08 Jun 1958 - 19:00 ,Group,Udevalla ,Brazil,3,0,3,Austria,17788,BRA,AUT
1958,Sweden,8,08 Jun 1958 - 19:00 ,Group,Halmstad ,Northern Ireland,1,0,1,Czechoslovakia,10647,NIR,TCH
1958,Sweden,9,11 Jun 1958 - 19:00 ,Group,Gothenburg ,Brazil,0,0,0,England,40895,BRA,ENG
