Year,Datetime,Stage,City,Home Team Name,Home Team Goals,Away Team Name,Away Team Goals
1954,20 Jun 1954 - 17:00 ,Group 4,Lugano ,Italy,4,Belgium,1
1954,23 Jun 1954 - 18:00 ,Group 2,Zurich ,Germany FR,7,Turkey,2
1954,23 Jun 1954 - 18:00 ,Group 4,Basel ,Switzerland,4,Italy,1
1954,26 Jun 1954 - 17:00 ,Quarter-finals,Basel ,Uruguay,4,England,2
1954,26 Jun 1954 - 17:00 ,Quarter-finals,Lausanne ,Austria,7,Switzerland,5
1954,27 Jun 1954 - 17:00 ,Quarter-finals,Geneva ,Germany FR,2,Yugoslavia,0
1954,27 Jun 1954 - 17:00 ,Quarter-finals,Berne ,Hungary,4,Brazil,2
1954,30 Jun 1954 - 18:00 ,Semi-finals,Basel ,Germany FR,6,Austria,1
1954,30 Jun 1954 - 18:00 ,Semi-finals,Lausanne ,Hungary,4,Uruguay,2
1954,03 Jul 1954 - 17:00 ,Match for third place,Zurich ,Austria,3,Uruguay,1
1954,04 Jul 1954 - 17:00 ,Final,Berne ,Germany FR,3,Hungary,2
1958,08 Jun 1958 - 14:00 ,Group 3,Solna ,Sweden,3,Mexico,0
1958,08 Jun 1958 - 19:00 ,Group 4,Gothenburg ,Soviet Union,2,England,2
1958,08 Jun 1958 - 19:00 ,Group 1,Malm� ,Argentina,1,Germany FR,3
1958,08 Jun 1958 - 19:00 ,Group 3,Sandviken ,Hungary,1,Wales,1
1958,08 Jun 1958 - 19:00 ,Group 2,Norrk�Ping ,France,7,Paraguay,3
1958,08 Jun 1958 - 19:00 ,Group 2,Vasteras ,Yugoslavia,1,Scotland,1
1958,08 Jun 1958 - 19:00 ,Group 4,Udevalla ,Brazil,3,Austria,0
1958,08 Jun 1958 - 19:00 ,Group 1,Halmstad ,Northern Ireland,1,Czechoslovakia,0
1958,11 Jun 1958 - 19:00 ,Group 4,Gothenburg ,Brazil,0,England,0
1958,11 Jun 1958 - 19:00 ,Group 3,Solna ,Mexico,1,Wales,1
1958,11 Jun 1958 - 19:00 ,Group 2,Norrk�Ping ,Paraguay,3,Scotland,2
1958,11 Jun 1958 - 19:00 ,Group 2,Vasteras ,Yugoslavia,3,France,2
1958,11 Jun 1958 - 19:00 ,Group 4,Boras ,Soviet Union,2,Austria,0
1958,11 Jun 1958 - 19:00 ,Group 1,Helsingborg ,Germany FR,2,Czechoslovakia,2
1958,11 Jun 1958 - 19:00 ,Group 1,Halmstad ,Argentina,3,Northern Ireland,1
1958,12 Jun 1958 - 19:00 ,Group 3,Solna ,Sweden,2,Hungary,1
1958,15 Jun 1958 - 14:00 ,Group 3,Solna ,Sweden,0,Wales,0
1958,15 Jun 1958 - 19:00 ,Group 4,Gothenburg ,Brazil,2,Soviet Union,0
1958,15 Jun 1958 - 19:00 ,Group 1,Malm� ,Germany FR,2,Northern Ireland,2
1958,15 Jun 1958 - 19:00 ,Group 3,Sandviken ,Hungary,4,Mexico,0
1958,15 Jun 1958 - 19:00 ,Group 2,Eskilstuna ,Paraguay,3,Yugoslavia,3
1958,15 Jun 1958 - 19:00 ,Group 2,Orebro ,France,2,Scotland,1
1958,15 Jun 1958 - 19:00 ,Group 4,Boras ,England,2,Austria,2
1958,15 Jun 1958 - 19:00 ,Group 1,Helsingborg ,Czechoslovakia,6,Argentina,1
1958,17 Jun 1958 - 19:00 ,Group 4,Gothenburg ,Soviet Union,1,England,0
1958,17 Jun 1958 - 19:00 ,Group 1,Malm� ,Northern Ireland,2,Czechoslovakia,1
1958,17 Jun 1958 - 19:00 ,Group 3,Solna ,Wales,2,Hungary,1
1958,19 Jun 1958 - 19:00 ,Quarter-finals,Gothenburg ,Brazil,1,Wales,0
1958,19 Jun 1958 - 19:00 ,Quarter-finals,Malm� ,Germany FR,1,Yugoslavia,0
1958,19 Jun 1958 - 19:00 ,Quarter-finals,Solna ,Sweden,2,Soviet Union,0
1958,19 Jun 1958 - 19:00 ,Quarter-finals,Norrk�Ping ,France,4,Northern Ireland,0
1958,24 Jun 1958 - 19:00 ,Semi-finals,Gothenburg ,Sweden,3,Germany FR,1
1958,24 Jun 1958 - 19:00 ,Semi-finals,Solna ,Brazil,5,France,2
1958,28 Jun 1958 - 17:00 ,Match for third place,Gothenburg ,France,6,Germany FR,3
1958,29 Jun 1958 - 15:00 ,Final,Solna ,Brazil,5,Sweden,2
1962,30 May 1962 - 15:00 ,Group 1,Arica ,Uruguay,2,Colombia,1
1962,30 May 1962 - 15:00 ,Group 3,Vina Del Mar ,Brazil,2,Mexico,0
1962,30 May 1962 - 15:00 ,Group 4,Rancagua ,Argentina,1,Bulgaria,0
1962,30 May 1962 - 15:00 ,Group 2,Santiago De Chile ,Chile,3,Switzerland,1
1962,31 May 1962 - 15:00 ,Group 1,Arica ,Soviet Union,2,Yugoslavia,0
1962,31 May 1962 - 15:00 ,Group 3,Vina Del Mar ,Czechoslovakia,1,Spain,0
1962,31 May 1962 - 15:00 ,Group 4,Rancagua ,Hungary,2,England,1
1962,31 May 1962 - 15:00 ,Group 2,Santiago De Chile ,Germany FR,0,Italy,0
1962,02 Jun 1962 - 15:00 ,Group 1,Arica ,Yugoslavia,3,Uruguay,1
1962,02 Jun 1962 - 15:00 ,Group 3,Vina Del Mar ,Brazil,0,Czechoslovakia,0
1962,02 Jun 1962 - 15:00 ,Group 4,Rancagua ,England,3,Argentina,1
1962,02 Jun 1962 - 15:00 ,Group 2,Santiago De Chile ,Chile,2,Italy,0
1962,03 Jun 1962 - 15:00 ,Group 1,Arica ,Soviet Union,4,Colombia,4
1962,03 Jun 1962 - 15:00 ,Group 3,Vina Del Mar ,Spain,1,Mexico,0
1962,03 Jun 1962 - 15:00 ,Group 4,Rancagua ,Hungary,6,Bulgaria,1
1962,03 Jun 1962 - 15:00 ,Group 2,Santiago De Chile ,Germany FR,2,Switzerland,1
1962,06 Jun 1962 - 15:00 ,Group 1,Arica ,Soviet Union,2,Uruguay,1
1962,06 Jun 1962 - 15:00 ,Group 3,Vina Del Mar ,Brazil,2,Spain,1
1962,06 Jun 1962 - 15:00 ,Group 4,Rancagua ,Hungary,0,Argentina,0
1962,06 Jun 1962 - 15:00 ,Group 2,Santiago De Chile ,Germany FR,2,Chile,0
1962,07 Jun 1962 - 15:00 ,Group 1,Arica ,Yugoslavia,5,Colombia,0
1962,07 Jun 1962 - 15:00 ,Group 3,Vina Del Mar ,Mexico,3,Czechoslovakia,1
1962,07 Jun 1962 - 15:00 ,Group 4,Rancagua ,England,0,Bulgaria,0
1962,07 Jun 1962 - 15:00 ,Group 2,Santiago De Chile ,Italy,3,Switzerland,0
1962,10 Jun 1962 - 14:30 ,Quarter-finals,Arica ,Chile,2,Soviet Union,1
1962,10 Jun 1962 - 14:30 ,Quarter-finals,Vina Del Mar ,Brazil,3,England,1
1962,10 Jun 1962 - 14:30 ,Quarter-finals,Rancagua ,Czechoslovakia,1,Hungary,0
1962,10 Jun 1962 - 14:30 ,Quarter-finals,Santiago De Chile ,Yugoslavia,1,Germany FR,0
1962,13 Jun 1962 - 14:30 ,Semi-finals,Vina Del Mar ,Czechoslovakia,3,Yugoslavia,1
1962,13 Jun 1962 - 14:30 ,Semi-finals,Santiago De Chile ,Brazil,4,Chile,2
1962,16 Jun 1962 - 14:30 ,Match for third place,Santiago De Chile ,Chile,1,Yugoslavia,0
1962,17 Jun 1962 - 14:30 ,Final,Santiago De Chile ,Brazil,3,Czechoslovakia,1
1966,11 Jul 1966 - 19:30 ,Group 1,London ,England,0,Uruguay,0
1966,12 Jul 1966 - 19:30 ,Group 2,Sheffield ,Germany FR,5,Switzerland,0
1966,12 Jul 1966 - 19:30 ,Group 3,Liverpool ,Brazil,2,Bulgaria,0
1966,12 Jul 1966 - 19:30 ,Group 4,Middlesbrough ,Soviet Union,3,Korea DPR,0
